dauid,Emp_fulltime,Emp_notemp,stu_notstudent,stu_fulltime,person_n,hhld_size,hhld_vehicles,person_age,drivelic_NO,drivelic_YES,TPass_No,person_N_trips
35200435,183.37,107.55,341.61,56.86,449.16,4.996094399,1.8937178,35.08769703,164.41,284.75,392.3,1.943049247
35200436,41.15,39.03,80.18,0,137.56,1.37353969,0.791712431,64.99956383,39.03,98.53,71.76,1.81927886
35200437,216.44,119.9,404.3,22.64,508.69,3.717743371,1.780565937,42.32298649,182.43,303.62,491.47,2.484086575
35200438,163.7,0,237.74,17.74,304.81,3.079736536,2.179387834,49.08667695,27.62,277.19,304.81,3.029231324
35200439,102.83,109.38,191.89,20.32,264.45,3.748487141,1.821230459,41.48886368,99.67,164.78,236.09,3.128606542
35200440,270.52,141.7,444.27,44.45,640.39,2.21388304,1.260714528,50.16049595,224.57,415.82,515.49,1.624650604
35200442,103.53,103.53,207.06,0,286.42,3.887228545,0.722924377,50.120243,142.57,143.85,246.1,1.582152084
35200443,108.38,197.74,519.18,0,519.18,2.060810543,0.215099432,42.21098656,410.8,108.38,214.91,2.205188952
35200444,56.32,19.19,94.7,0,195.7,2.336158529,1.962158291,55.63065917,0,195.7,176.51,2.765508431
35200445,193.7,105.23,351.12,0,456.35,3.244348073,1.742073084,37.82837734,106.08,350.27,367.88,1.773134655
35200449,240.65,47.21,296.11,0,505.9,3.413142632,1.736133791,38.91814588,155.55,350.35,465.5,2.771377743
35200450,248.65,64.43,290.74,47.3,455.2,3.150604511,1.70344106,42.48598418,110.48,344.72,407.9,2.969068541
35200451,184.02,0,184.02,0,284.96,3.681653747,1.506976744,35.94143038,145.86,139.1,195.12,2.739823133
35200452,111.63,59.97,188.1,0,325.22,2.278463283,2.022143667,58.08486563,46.85,278.37,325.22,1.867535822
35200453,136.69,37.8,226.08,28.74,393.19,2.527085826,1.634232568,48.68162975,60.21,332.98,286.25,2.506498131
35200454,377.06,87.68,646.91,62.77,831.1,2.142009672,1.186308436,46.88296234,145.74,659.76,678.81,2.746588858
35200455,192.86,9.28,240.22,0,397.3,2.149538081,1.234672678,48.36209414,101.62,295.68,325.15,2.477019884
35200456,277.68,0,277.68,0,582.12,1.296428948,0.590940693,55.40041572,263.29,318.83,413.88,2.10186903
35200459,159.1,60.7,220.01,22.6,528.88,2.274305162,1.215050104,55.1554795,181.46,339.17,452.59,2.485232945
35200460,200.41,94.55,355.31,0,525.06,1.904909767,0.685430565,42.14485964,290.26,222.95,404.36,1.760198834
35200463,104.58,124.01,242.71,0,417.82,1.863441248,1.046415533,56.35161074,58.24,359.58,384.7,1.590493514
35200464,401.21,19.17,461.81,0,537.58,1.957184986,0.861288091,41.02341977,106.77,406.04,300.29,1.89555043
35200465,251.53,23.42,256.19,0,479.15,2.256849026,1.304054624,56.8806428,74.67,385.72,460.39,2.156234999
35200466,63.6,96.18,163.92,18.24,271.01,2.794777127,0.997118415,50.47485333,73.08,197.93,175.56,2.860780045
35200467,156.6,74.07,228.23,0,540.54,2.116431242,0.957000415,49.22342472,247.56,292.98,446.59,2.942353942
35200468,254.87,35.68,368.55,55.86,503.5,2.505158023,1.623511207,47.19070506,141.5,362,431.87,2.072234359
35200469,189.43,161.2,322.62,57.08,517.86,1.966572614,0.682755187,50.96168849,208.54,309.32,450.17,1.811030008
35200470,58.08,101.97,133.79,58.98,204.62,1.168389197,0,44.04501026,103.55,101.07,204.62,1.883833447
35200471,305.71,63.51,307.32,76.28,481.24,1.629381716,0.307057718,43.13544178,277.12,187.45,164.13,2.554816723
35200472,388.37,60.33,526.43,35.23,635.87,2.051920899,1.073815954,42.520814,138.73,497.14,491.17,2.133266234
35200475,210.23,6.48,216.71,0,304.33,2.016207353,1.152046415,44.2446029,49.11,255.22,206.49,2.150001643
35200478,179.78,21.24,198.91,0,292.48,1.757830448,1.337423657,50.40536105,12.21,280.27,222.55,3.059115153
